name,location,lon,lat,distance_to_shore,capacity,turbine,depth,substructure,start_date,estimated_cod,associated_port,us_wtiv
TotalEnergies,NC,-78.00283544,33.43107384,50,889,15MW_generic,40,monopile,1/1/2034 0:00,2035,portsmouth_2,FALSE
Vineyard Northeast,MA,-70.16378033,40.6450013,50,2600,15MW_generic,40,jacket,1/1/2034 0:00,2035,new_bedford,FALSE
Hypothetical Gulf of Maine Draft WEA 12,MA,-69.21235,42.246805,50,1424,15MW_generic,800,semisub,1/1/2034 0:00,2035,searsport_1,FALSE
Empire Wind 2,NY,-73.22227313,40.24801683,50,1260,15MW_generic,40,monopile,1/1/2035 0:00,2036,sbmt,TRUE
Garden State Offshore Energy I,NJ,-74.75173526,38.66111942,50,1080,15MW_generic,40,monopile,1/1/2035 0:00,2036,njwp_1,TRUE
Hypothetical Central Atlantic WEA  2,VA,-75.024437,36.925349,50,927,15MW_generic,40,monopile,1/1/2035 0:00,2036,portsmouth_1,TRUE
Hypothetical Gulf of Maine Draft WEA 8,NH,-68.521338,42.976654,50,1424,15MW_generic,800,semisub,1/1/2035 0:00,2036,searsport_2,FALSE
Ocean Wind 2,NJ,-74.28958819,39.01878197,50,1148,15MW_generic,40,monopile,1/1/2035 0:00,2036,njwp_2,TRUE
Hypothetical Gulf of Maine Draft WEA 13,ME,-68.521338,42.976654,50,1424,15MW_generic,800,semisub,1/1/2035 0:00,2036,salem,FALSE
Hypothetical Central Atlantic WEA 5,MD,-74.70664,38.035256,50,713,15MW_generic,40,monopile,1/1/2036 0:00,2037,tradepoint_1,TRUE
Hypothetical Gulf of Maine Draft WEA 5,MA,-69.21235,42.246805,50,1424,15MW_generic,800,semisub,1/1/2036 0:00,2037,searsport_1,FALSE
Hypothetical NE Fixed 2,RI,-70.092382,40.67661,50,1500,15MW_generic,40,jacket,1/1/2036 0:00,2037,new_london,FALSE
Hypothetical NE Floating 2,CT,-70.092382,40.67661,50,1500,15MW_generic,800,semisub,1/1/2037 0:00,2038,salem,FALSE
Atlantic Shores Offshore Wind Bight,NY,-73.58045588,39.30154735,50,1284,15MW_generic,40,monopile,1/1/2037 0:00,2038,njwp_1,FALSE
Hypothetical Gulf of Maine Draft WEA 6,MA,-69.21235,42.246805,50,1424,15MW_generic,800,semisub,1/1/2037 0:00,2038,searsport_2,FALSE
Hypothetical Central Atlantic WEA 3,MD,-75.120567,36.512551,50,1607,15MW_generic,40,monopile,1/1/2038 0:00,2039,tradepoint_1,FALSE
Hypothetical Central Atlantic Draft WEA 5,MD,-73.650827,37.555451,50,1428,15MW_generic,800,semisub,1/1/2038 0:00,2039,tradepoint_2,FALSE
Hypothetical Central Atlantic Draft WEA 8,NC,-75.120567,36.512551,50,1273,15MW_generic,40,monopile,1/1/2038 0:00,2039,portsmouth_1,TRUE
Hypothetical Central Atlantic WEA 6,MD,-74.70664,38.035256,50,713,15MW_generic,40,monopile,1/1/2038 0:00,2039,tradepoint_1,TRUE
Hypothetical Gulf of Maine Draft WEA 7,MA,-69.21235,42.246805,50,1424,15MW_generic,800,semisub,1/1/2038 0:00,2039,searsport_1,FALSE
Hypothetical NE Fixed 1,MA,-70.092382,40.67661,50,1500,15MW_generic,40,gbf,1/1/2038 0:00,2039,new_bedford,FALSE
Hypothetical NY Bight Fixed 1,NY,-72.961754,40.211015,50,1500,15MW_generic,40,monopile,1/1/2038 0:00,2039,sbmt,TRUE
Hypothetical NY Bight Fixed 2,NJ,-72.961754,40.211015,50,1500,15MW_generic,40,monopile,1/1/2039 0:00,2040,njwp_1,FALSE
Hypothetical Central Atlantic Draft WEA 2,DE,-75.120567,36.512551,50,1273,15MW_generic,40,monopile,1/1/2039 0:00,2040,tradepoint_1,FALSE
Hypothetical Central Atlantic Draft WEA 4,MD,-75.120567,36.512551,50,1273,15MW_generic,40,monopile,1/1/2039 0:00,2040,tradepoint_2,TRUE
Hypothetical Central Atlantic Draft WEA 3,NC,-73.650827,37.555451,50,1428,15MW_generic,800,semisub,1/1/2039 0:00,2040,portsmouth_2,FALSE
Hypothetical Gulf of Maine Draft WEA 1,ME,-68.521338,42.976654,50,1424,15MW_generic,800,semisub,1/1/2039 0:00,2040,searsport_2,FALSE
Hypothetical NE Floating 1,CT,-70.092382,40.67661,50,1800,15MW_generic,800,semisub,1/1/2039 0:00,2040,salem,FALSE
Hypothetical NE Floating 3,RI,-70.092382,40.67661,50,1500,15MW_generic,800,semisub,1/1/2040 0:00,2041,new_london,FALSE
Hypothetical Central Atlantic Draft WEA 6,MD,-73.650827,37.555451,50,1428,15MW_generic,800,semisub,1/1/2040 0:00,2041,tradepoint_2,FALSE
Hypothetical NY Bight Floating 1,NY,-72.961754,40.211015,50,1800,15MW_generic,800,semisub,1/1/2040 0:00,2041,sbmt,FALSE
Hypothetical Gulf of Maine Draft WEA 2,ME,-68.521338,42.976654,50,1424,15MW_generic,800,semisub,1/1/2041 0:00,2042,searsport_1,FALSE
Hypothetical Gulf of Maine Draft WEA 3,ME,-68.521338,42.976654,50,1424,15MW_generic,800,semisub,1/1/2041 0:00,2042,salem,FALSE
Hypothetical Gulf of Maine Draft WEA 4,NH,-68.521338,42.976654,50,1424,15MW_generic,800,semisub,1/1/2041 0:00,2042,searsport_2,FALSE
